m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,acf_prefix,family
2,0123,32 31 20 01,"5,4,2,1",4,45,25,35,1,1,12,0,12,12,12,"1,-1,1,-1","-1,1,-1,1",4,4,-2,2,1,3,1,0,0,2,1,0,1,"1,1",1:1|0:1|1:1,2,119,famous_power_k1
4,0123,0120 0131 2032 3231,"3,5,7,9",4,45,25,35,1,1,6,0,5,5,6,"0,-1,1,0","0,0,-1,0",2,1,-2,7,6,8,1,0,0,2,1,0,1,"1,1",1:1|2:1|3:1,2,119,famous_power_k2
8,0123,32312032 32310131 20320120 01200131,"16,14,10,8",4,45,25,35,5,1,3,0,2,2,3,"1,0,0,-1","-1,0,0,0",2,1,-8,16,9,17,1,0,0,8,1,0,1,"5,1",5:1|6:1|7:1,2,119,famous_power_k3
16,0123,0120013120320120 0120013132310131 2032012032312032 3231203232310131,"18,22,26,30",4,45,25,35,13,9,1,0,1,0,1,"0,0,1,0","0,0,-1,0",1,1,-26,26,9,35,9,0,0,26,1,0,1,"13,9",13:9|6:9|15:9,2,119,famous_power_k4
32,0123,32312032323101312032012032312032 32312032323101310120013132310131 20320120323120320120013120320120 01200131203201200120013132310131,"56,52,44,40",4,45,25,35,13,25,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,35,35,35,1,1,0,1,0,1,"13,25",13:25|6:25|31:25,2,119,famous_power_k5
64,0123,0120013120320120012001313231013120320120323120320120013120320120 0120013120320120012001313231013132312032323101310120013132310131 2032012032312032012001312032012032312032323101312032012032312032 3231203232310131203201203231203232312032323101310120013132310131,"84,92,100,108",4,45,25,35,45,25,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,35,35,35,1,1,0,1,0,1,"45,25",45:25|6:25|31:25,2,119,famous_power_k6
2,0123,01 01 32 32,"1,1,5,5",2,0,2,1,0,0,1,1,1,1,1,"1,-1,0,0","-1,1,0,0",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,5,two_sums_A_m2
2,0134,01 01 43 43,"1,1,7,7",2,0,2,1,0,0,1,1,1,1,1,"1,-1,0,0","-1,1,0,0",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,5,two_sums_B_m2
2,0123,00 01 30 33,"0,1,3,6",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|0:1,0,2,three_sums_A_m2
2,0134,00 01 40 44,"0,1,4,8",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|0:1,0,2,three_sums_B_m2
2,0123,00 11 22 33,"0,2,4,6",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|0:1,0,2,spread_A_m2
2,0134,00 11 33 44,"0,2,6,8",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|0:1,0,2,spread_B_m2
2,0123,01 12 23 30,"1,3,5,3",3,0,16,28,0,0,8,1,8,8,8,"0,2,0,-2","0,0,0,0",4,0,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,0,10,cycle_A_m2
2,0134,01 13 34 40,"1,4,7,4",3,0,16,38,0,0,8,1,8,8,8,"0,2,0,-2","0,0,0,0",4,0,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,0,15,cycle_B_m2
2,0123,01 10 23 32,"1,1,5,5",2,0,2,1,0,0,1,1,1,1,1,"1,-1,0,0","0,0,0,0",2,0,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,5,impr_A_m2
2,0134,01 10 34 43,"1,1,7,7",2,0,2,1,0,0,1,1,1,1,1,"1,-1,0,0","0,0,0,0",2,0,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,5,impr_B_m2
2,0123,03 03 03 03,"3,3,3,3",1,0,2,3,0,0,1,1,1,1,1,"1,0,0,-1","-1,0,0,1",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,5,repeat_A_m2
2,0123,01 02 03 00,"1,2,3,0",4,0,15,11,0,1,7,0,7,7,7,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,1",0:1|1:1|0:1,0,11,pisot_A_m2
2,0134,01 03 04 00,"1,3,4,0",4,0,15,14,0,1,7,0,7,7,7,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,1",0:1|1:1|0:1,0,11,pisot_B_m2
2,0134,03 43 13 01,"3,7,4,1",4,3,35,75,1,1,17,0,17,17,17,"0,0,-1,1","0,0,1,-1",2,2,3,-3,3,0,3,0,0,-3,0,0,1,"1,1",1:1|0:1|1:1,0,40,cassaigne_pad_m2
3,0123,001 001 332 332,"1,1,8,8",2,0,3,1,0,0,1,1,1,1,1,"0,0,0,0","1,-1,0,0",0,2,0,0,0,0,0,1,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,8,two_sums_A_m3
3,0134,001 001 443 443,"1,1,11,11",2,0,3,1,0,0,1,1,1,1,1,"0,0,0,0","1,-1,0,0",0,2,0,0,0,0,0,1,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,8,two_sums_B_m3
3,0123,000 001 330 333,"0,1,6,9",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_A_m3
3,0134,000 001 440 444,"0,1,8,12",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_B_m3
3,0123,000 111 222 333,"0,3,6,9",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_A_m3
3,0134,000 111 333 444,"0,3,9,12",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_B_m3
3,0123,012 123 230 301,"3,6,5,4",4,0,80,120,0,2,26,0,26,26,26,"0,-1,0,1","1,0,-1,0",2,2,2,2,5,3,1,0,0,-2,0,0,1,"0,2",0:2|2:2|1:2,0,18,cycle_A_m3
3,0134,013 134 340 401,"4,8,7,5",4,0,80,160,0,2,26,0,26,26,26,"0,-1,0,1","1,0,-1,0",2,2,3,3,7,4,1,0,0,-3,0,0,1,"0,2",0:2|2:2|1:2,0,18,cycle_B_m3
3,0123,010 101 232 323,"1,2,7,8",4,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|1:2,0,5,impr_A_m3
3,0134,010 101 343 434,"1,2,10,11",4,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|1:2,0,5,impr_B_m3
3,0123,030 030 030 030,"3,3,3,3",1,0,3,3,0,0,1,1,1,1,1,"1,0,0,-1","-1,0,0,1",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,8,repeat_A_m3
3,0123,001 002 003 000,"1,2,3,0",4,0,40,18,0,1,13,0,13,12,13,"1,0,0,0","-1,0,0,0",1,1,-1,1,0,1,0,0,0,1,0,0,1,"0,1",0:1|1:1|2:1,0,15,pisot_A_m3
3,0134,001 003 004 000,"1,3,4,0",4,0,40,22,0,1,13,0,13,12,13,"1,0,0,0","-1,0,0,0",1,1,-1,1,0,1,0,0,0,1,0,0,1,"0,1",0:1|1:1|2:1,0,28,pisot_B_m3
3,0134,030 431 133 014,"3,8,7,5",4,2,10,18,2,1,3,0,3,3,2,"0,1,-1,0","0,0,2,-1",2,3,-1,-9,0,1,10,0,0,1,1,0,1,"2,1",2:1|0:1|1:1,0,13,cassaigne_pad_m3
4,0123,0001 0001 3332 3332,"1,1,11,11",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_A_m4
4,0134,0001 0001 4443 4443,"1,1,15,15",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_B_m4
4,0123,0000 0001 3330 3333,"0,1,9,12",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_A_m4
4,0134,0000 0001 4440 4444,"0,1,12,16",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_B_m4
4,0123,0000 1111 2222 3333,"0,4,8,12",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_A_m4
4,0134,0000 1111 3333 4444,"0,4,12,16",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_B_m4
4,0123,0123 1230 2301 3012,"6,6,6,6",1,0,4,6,0,0,1,1,1,1,1,"1,-1,0,0","0,1,-1,0",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,11,cycle_A_m4
4,0134,0134 1340 3401 4013,"8,8,8,8",1,0,4,8,0,0,1,1,1,1,1,"1,-1,0,0","0,1,-1,0",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,11,cycle_B_m4
4,0123,0101 1010 2323 3232,"2,2,10,10",2,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|0:2,0,5,impr_A_m4
4,0134,0101 1010 3434 4343,"2,2,14,14",2,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|0:2,0,5,impr_B_m4
4,0123,0303 0303 0303 0303,"6,6,6,6",1,0,2,3,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,3,3,3,1,1,0,1,0,1,"0,2",0:2|2:2|0:2,0,5,repeat_A_m4
4,0123,0001 0002 0003 0000,"1,2,3,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_A_m4
4,0134,0001 0003 0004 0000,"1,3,4,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_B_m4
4,0134,0300 4311 1333 0144,"3,9,10,9",3,5,1,3,1,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,3,3,3,1,1,0,1,0,1,"1,1",1:1|2:1|3:1,0,7,cassaigne_pad_m4
5,0123,00001 00001 33332 33332,"1,1,14,14",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_A_m5
5,0134,00001 00001 44443 44443,"1,1,19,19",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_B_m5
5,0123,00000 00001 33330 33333,"0,1,12,15",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_A_m5
5,0134,00000 00001 44440 44444,"0,1,16,20",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_B_m5
5,0123,00000 11111 22222 33333,"0,5,10,15",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_A_m5
5,0134,00000 11111 33333 44444,"0,5,15,20",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_B_m5
5,0123,01230 12301 23012 30123,"6,7,8,9",4,0,4,6,0,4,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,6,6,6,1,1,0,1,0,1,"0,4",0:4|4:4|3:4,0,6,cycle_A_m5
5,0134,01340 13401 34013 40134,"8,9,11,12",4,0,4,8,0,4,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,8,8,8,1,1,0,1,0,1,"0,4",0:4|4:4|3:4,0,6,cycle_B_m5
5,0123,01010 10101 23232 32323,"2,3,12,13",4,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,impr_A_m5
5,0134,01010 10101 34343 43434,"2,3,17,18",4,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,impr_B_m5
5,0123,03030 03030 03030 03030,"6,6,6,6",1,0,5,6,0,0,1,1,1,1,1,"1,0,0,-1","-1,0,0,1",2,2,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,6,repeat_A_m5
5,0123,00001 00002 00003 00000,"1,2,3,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_A_m5
5,0134,00001 00003 00004 00000,"1,3,4,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_B_m5
5,0134,03000 43111 13333 01444,"3,10,13,13",3,2,1,0,2,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"2,1",2:1|3:1|4:1,0,4,cassaigne_pad_m5
6,0123,000001 000001 333332 333332,"1,1,17,17",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_A_m6
6,0134,000001 000001 444443 444443,"1,1,23,23",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_B_m6
6,0123,000000 000001 333330 333333,"0,1,15,18",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_A_m6
6,0134,000000 000001 444440 444444,"0,1,20,24",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_B_m6
6,0123,000000 111111 222222 333333,"0,6,12,18",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_A_m6
6,0134,000000 111111 333333 444444,"0,6,18,24",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_B_m6
6,0123,012301 123012 230123 301230,"7,9,11,9",3,0,24,36,0,0,4,1,4,4,4,"0,-1,0,1","0,1,0,-1",2,2,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,0,11,cycle_A_m6
6,0134,013401 134013 340134 401340,"9,12,15,12",3,0,24,48,0,0,4,1,4,4,4,"0,-1,0,1","0,1,0,-1",2,2,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,0,11,cycle_B_m6
6,0123,010101 101010 232323 323232,"3,3,15,15",2,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,impr_A_m6
6,0134,010101 101010 343434 434343,"3,3,21,21",2,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,impr_B_m6
6,0123,030303 030303 030303 030303,"9,9,9,9",1,0,2,3,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,3,3,3,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,repeat_A_m6
6,0123,000001 000002 000003 000000,"1,2,3,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_A_m6
6,0134,000001 000003 000004 000000,"1,3,4,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_B_m6
6,0134,030000 431111 133333 014444,"3,11,16,17",4,2,1,0,2,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"2,1",2:1|3:1|4:1,0,4,cassaigne_pad_m6
7,0123,0000001 0000001 3333332 3333332,"1,1,20,20",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_A_m7
7,0134,0000001 0000001 4444443 4444443,"1,1,27,27",2,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,two_sums_B_m7
7,0123,0000000 0000001 3333330 3333333,"0,1,18,21",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_A_m7
7,0134,0000000 0000001 4444440 4444444,"0,1,24,28",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,three_sums_B_m7
7,0123,0000000 1111111 2222222 3333333,"0,7,14,21",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_A_m7
7,0134,0000000 1111111 3333333 4444444,"0,7,21,28",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,spread_B_m7
7,0123,0123012 1230123 2301230 3012301,"9,12,11,10",4,0,14,21,0,0,2,1,2,2,2,"1,1,-1,-1","-1,-1,1,1",4,4,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,6,cycle_A_m7
7,0134,0134013 1340134 3401340 4013401,"12,16,15,13",4,0,14,28,0,0,2,1,2,2,2,"1,1,-1,-1","-1,-1,1,1",4,4,0,0,0,0,0,0,1,0,1,1,1,"0,0",0:0|0:0|0:0,0,6,cycle_B_m7
7,0123,0101010 1010101 2323232 3232323,"3,4,17,18",4,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,impr_A_m7
7,0134,0101010 1010101 3434343 4343434,"3,4,24,25",4,0,2,1,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,1,1,1,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,impr_B_m7
7,0123,0303030 0303030 0303030 0303030,"9,9,9,9",1,0,2,3,0,2,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,3,3,3,1,1,0,1,0,1,"0,2",0:2|2:2|4:2,0,5,repeat_A_m7
7,0123,0000001 0000002 0000003 0000000,"1,2,3,0",4,0,1,0,0,1,0,0,0,0,0,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,1,0,1,"0,1",0:1|1:1|2:1,0,2,pisot_A_m7
